0.36|-0.56|0|4.54|-0.66|0.34|0|0|7.89762e-09|2.18|1.1|-0.24|0|0|0|
-0.34|0.04|0|4.84|0.04|0.34|0|0|0.1|0.8|-0.52|0.16|0|0|0|
-0.34|0.4|0|4.5|0.46|0.74|0|-0.04|0.1|0.4|-0.8|0.78|0|0|0|
-0.34|0.68|0|4.5|0.54|0.74|0|-0.04|0.1|-0.0599999|-1.3|1.42|0|0|0|
-0.34|0.8|0|4.1|0.72|0.98|0|-0.04|0.1|-0.24|-1.68|1.42|0|0|0|
-1.2|1.16|0|4.1|0.72|0.98|0|-0.04|0.1|-0.24|-1.68|1.42|0|0|0|
-0.28|0.34|0|4.82|0.18|0.98|0|-0.04|0.1|0.64|-0.38|-0.02|0|0|0|
0.18|7.00355e-09|0|5.54|-0.92|0.3|0|-0.04|0.1|1|-0.38|-0.12|0|0|0|
0.18|7.00355e-09|0|5.68|-0.92|0.3|0|-0.04|0.1|1.84|0.34|0.36|0|0|0|
0.18|-0.62|0|6.39999|-1.5|0.92|0|-0.04|0.1|1.84|0.34|0.36|0|0|0|
0.18|-0.82|0|6.33999|-1.82|0.92|0|-0.04|0.1|1.84|0.34|0.36|0|0|0|
1.02|-1.14|0|6.33999|-1.82|0.92|-0.76|0.74|0.52|2.06|0.34|0.58|0.5|0|0.6|
1.44|-1.4|0|6.33999|-1.82|0.92|-0.76|0.74|0.52|2.06|0.34|0.58|0.5|0|0.6|
0.0400001|-0.3|0|4.72|0.62|7.89762e-09|-0.76|0.74|0.66|2.06|0.34|0.58|-0.1|0.24|-0.04|
-0.12|-0.14|0|4.72|0.62|7.89762e-09|-0.76|0.74|0.66|2.06|0.34|0.58|-0.1|0.24|-0.04|
